abacus,abacuses|abaci,abacus's|abacus',abacuses'|abaci's
boxfish,boxfishes,boxfish's,boxfishes'
bozo,bozos,bozo's,bozos'
brachium,brachia,brachium's,brachia's
brachylogy,brachylogies,brachylogy's,brachylogies'
braggadocio,braggadocios,braggadocio's,braggadocios'
brahman,brahmans,brahman's,brahmans'
brahmani,brahmanis,brahmani's,brahmanis'
brahmin,brahmins,brahmin's,brahmins'
brahui,brahuis,brahui's,brahuis'
brainchild,brainchildren,brainchild's,brainchildren's
brakeman,brakemen,brakeman's,brakemen's
brakesman,brakesmen,brakesman's,brakesmen's
branchia,branchiae,branchia's,branchiae's
brandy,brandies,brandy's,brandies'
brant,brants,brant's,brants'
brassie,brassies,brassie's,brassies'
brassy,brassies,brassy's,brassies'
breadfruit,breadfruits,breadfruit's,breadfruits'
bregma,bregmata,bregma's,bregmata's
brent,brants,brent's,brants'
brent,brents,brent's,brents'
brill,brills,brill's,brills'
briony,brionies,briony's,brionies'
briony,bryonies,briony's,bryonies'
broadleaf,broadleaves,broadleaf's,broadleaves'
brolly,brollies,brolly's,brollies'
broncho,bronchos,broncho's,bronchos'
bronchus,bronchi,bronchus's|bronchus',bronchi's
bronco,broncos,bronco's,broncos'
brother,brethren,brother's,brethren's
brother-in-law,brothers-in-law,brother-in-law's,brothers-in-law's
brumby,brumbies,brumby's,brumbies'
bryony,bryonies,bryony's,bryonies'
bucktooth,buckteeth,bucktooth's,buckteeth's
buddy,buddies,buddy's,buddies'
bugaboo,bugaboos,bugaboo's,bugaboos'
buggy,buggies,buggy's,buggies'
bulla,bullae,bulla's,bullae's
bully,bullies,bully's,bullies'
bunco,buncos,bunco's,buncos'
bund,bunde,bund's,bunde's
bund,bunds,bund's,bunds'
bunko,bunkos,bunko's,bunkos'
bunny,bunnies,bunny's,bunnies'
burbot,burbots,burbot's,burbots'
bureau,bureaus,bureau's,bureaus'
bureau,bureaux,bureau's,bureaux's
bureaucracy,bureaucracies,bureaucracy's,bureaucracies'
burgoo,burgoos,burgoo's,burgoos'
burgundy,burgundies,burgundy's,burgundies'
buroo,buroos,buroo's,buroos'
burro,burros,burro's,burros'
bursa,bursae,bursa's,bursae's
bursa,bursas,bursa's,bursas'
bus,buses,bus's|bus',buses'
bus,busses,bus's|bus',busses'
busby,busbies,busby's,busbies'
bushbaby,bushbabies,bushbaby's,bushbabies'
bushbuck,bushbucks,bushbuck's,bushbucks'
bushie,bushies,bushie's,bushies'
bushman,bushmen,bushman's,bushmen's
bushy,bushies,bushy's,bushies'
businessman,businessmen,businessman's,businessmen's
businesswoman,businesswomen,businesswoman's,businesswomen's
busybody,busybodies,busybody's,busybodies'
butterfish,butterfishes,butterfish's,butterfishes'
butterfly,butterflies,butterfly's,butterflies'
bye,byes,bye's,byes'
byssus,byssi,byssus's|byssus',byssi's
byssus,byssuses,byssus's|byssus',byssuses'
caballero,caballeros,caballero's,caballeros'
cabby,cabbies,cabby's,cabbies'
cabman,cabmen,cabman's,cabmen's
cacophony,cacophonies,cacophony's,cacophonies'
cactus,cacti,cactus's|cactus',cacti's
cactus,cactuses,cactus's|cactus',cactuses'
caddie,caddies,caddie's,caddies'
caddisfly,caddisflies,caddisfly's,caddisflies'
caddy,caddies,caddy's,caddies'
cadence,cadences,cadence's,cadences'
cadency,cadencies,cadency's,cadencies'
cadi,cadis,cadi's,cadis'
caduceus,caducei,caduceus's|caduceus',caducei's
caecum,caeca,caecum's,caeca's
caestus,caestuses,caestus's|caestus',caestuses'
caestus,cestuses,caestus's|caestus',cestuses'
caesura,caesurae,caesura's,caesurae's
caesura,caesuras,caesura's,caesuras'
caiman,caimans,caiman's,caimans'
calamus,calami,calamus's|calamus',calami's
calathus,calathi,calathus's|calathus',calathi's
calcaneum,calcanei,calcaneum's,calcanei's
calcaneus,calcanei,calcaneus's|calcaneus',calcanei's
